scenario,seed,function,sampler,grid_size,noise_sigma,weight_decay,lr,depth,width,N,l2,linf
baseline,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
baseline,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
baseline,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
baseline,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
baseline,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
baseline,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
baseline,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
baseline,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
baseline,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
baseline,68,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0012948497897014022,0.00426030158996582
baseline,68,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.00018824191647581756,0.0007758140563964844
baseline,68,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00023604034504387528,0.0012719035148620605
baseline,68,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.001019042101688683,0.0030587315559387207
baseline,68,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.00022562174126505852,0.0009673237800598145
baseline,68,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.0002123573503922671,0.0016174018383026123
baseline,68,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.003250374924391508,0.03542459011077881
baseline,68,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.000988773419521749,0.007938146591186523
baseline,68,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.0006903463508933783,0.007289886474609375
baseline,69,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0012332653859630227,0.003935724496841431
baseline,69,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.00026614152011461556,0.001374363899230957
baseline,69,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.0001998380321310833,0.001518845558166504
baseline,69,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.0015859078848734498,0.005337357521057129
baseline,69,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.00022358697606250644,0.0009289979934692383
baseline,69,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.000218606335693039,0.001628279685974121
baseline,69,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.005791640840470791,0.04115152359008789
baseline,69,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009749349555931985,0.008094310760498047
baseline,69,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.0004619987157639116,0.004003763198852539
wd=0,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
wd=0,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
wd=0,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
wd=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
wd=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
wd=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
wd=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
wd=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
wd=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
wd=0.0001,67,smooth,random,1000,0.0,0.0001,0.001,6,10,471,0.002495997352525592,0.013683676719665527
wd=0.0001,67,smooth,random,1000,0.0,0.0001,0.001,6,40,6681,0.0018923332681879401,0.011108934879302979
wd=0.0001,67,smooth,random,1000,0.0,0.0001,0.001,6,120,58441,0.0019233815837651491,0.012509584426879883
wd=0.0001,67,piecewise_kink_poly,random,1000,0.0,0.0001,0.001,6,10,471,0.00266226171515882,0.013223528861999512
wd=0.0001,67,piecewise_kink_poly,random,1000,0.0,0.0001,0.001,6,40,6681,0.0019181674579158425,0.010770559310913086
wd=0.0001,67,piecewise_kink_poly,random,1000,0.0,0.0001,0.001,6,120,58441,0.0017655226401984692,0.011939406394958496
wd=0.0001,67,besov_faber_schauder,random,1000,0.0,0.0001,0.001,6,10,471,0.007986431010067463,0.07004833221435547
wd=0.0001,67,besov_faber_schauder,random,1000,0.0,0.0001,0.001,6,40,6681,0.0064582908526062965,0.06425905227661133
wd=0.0001,67,besov_faber_schauder,random,1000,0.0,0.0001,0.001,6,120,58441,0.005993227008730173,0.05804908275604248
sampler=random,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
sampler=random,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
sampler=random,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,10,471,0.0018682596273720264,0.005760207772254944
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,40,6681,0.0006490488303825259,0.0025601983070373535
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,120,58441,0.00018370225734543055,0.0010519623756408691
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,10,471,0.001643074327148497,0.004952073097229004
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,40,6681,0.0006791770574636757,0.0025790929794311523
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,120,58441,0.00021427517640404403,0.0011529326438903809
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,10,471,0.006732687819749117,0.04197394847869873
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,40,6681,0.0017459134105592966,0.014190077781677246
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,120,58441,0.0007569156005047262,0.008211851119995117
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,10,471,0.0014024806441739202,0.004440732300281525
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,40,6681,0.0006709455628879368,0.002470076084136963
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,120,58441,0.00018281987286172807,0.0010537505149841309
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,10,471,0.0015868499176576734,0.004285097122192383
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,40,6681,0.0006988141103647649,0.0025330781936645508
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,120,58441,0.00021506863413378596,0.0011904239654541016
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,10,471,0.004157370887696743,0.03331911563873291
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,40,6681,0.0009916368871927261,0.007548809051513672
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,120,58441,0.0010696622775867581,0.008064508438110352
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.001836670795455575,0.0054885149002075195
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0012966823996976018,0.003982126712799072
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0008923565619625151,0.002399340271949768
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0022327748592942953,0.008248582482337952
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001837381743825972,0.006076395511627197
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0009487138595432043,0.002545073628425598
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.004066346678882837,0.031969666481018066
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.0014710456598550081,0.0099562406539917
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015847684117034078,0.009629249572753906
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.001836670795455575,0.0054885149002075195
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0012966823996976018,0.003982126712799072
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0008923565619625151,0.002399340271949768
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0022327748592942953,0.008248582482337952
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001837381743825972,0.006076395511627197
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0009487138595432043,0.002545073628425598
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.004066346678882837,0.031969666481018066
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.0014710456598550081,0.0099562406539917
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015847684117034078,0.009629249572753906
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.0020226892083883286,0.007392823696136475
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0008973462390713394,0.0029127001762390137
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0010048877447843552,0.0034295320510864258
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0014844727702438831,0.004350602626800537
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.0009341628756374121,0.002449631690979004
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0010352208046242595,0.003670811653137207
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.003513892414048314,0.037627577781677246
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.001685162540525198,0.01238560676574707
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015485754702240229,0.009924888610839844
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.0018400945700705051,0.009564578533172607
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.001012113643810153,0.002698183059692383
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0010311087826266885,0.006540358066558838
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0018575405701994896,0.009749174118041992
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001023286604322493,0.002995416522026062
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0010485887760296464,0.0067473649978637695
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.007200893014669418,0.04304790496826172
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.001718467683531344,0.011414408683776855
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015529164811596274,0.008453845977783203
